Date,Open,High,Low,Close,Adj Close,Volume
2018-07-19,6245.100098,6274.200195,6243.100098,6262.700195,6262.700195,0
2018-07-20,6262.700195,6297.899902,6254.799805,6285.899902,6285.899902,0
2018-07-23,6285.899902,6285.899902,6224.899902,6227.600098,6227.600098,0
2018-07-24,6227.600098,6269.200195,6227.600098,6265.799805,6265.799805,0
2018-07-25,6265.799805,6277.299805,6239.700195,6247.600098,6247.600098,0
2018-07-26,6247.600098,6252.100098,6214.500000,6244.500000,6244.500000,0
2018-07-27,6244.500000,6302.299805,6244.500000,6300.200195,6300.200195,0
2018-07-30,6297.000000,6300.200195,6260.000000,6278.399902,6278.399902,0
2018-07-31,6278.399902,6298.600098,6271.899902,6280.200195,6280.200195,0
2018-08-01,6280.200195,6293.299805,6269.100098,6275.700195,6275.700195,0
2018-08-02,6275.700195,6277.500000,6240.899902,6240.899902,6240.899902,0
2018-08-03,6240.899902,6269.899902,6231.200195,6234.799805,6234.799805,0
2018-08-06,6234.799805,6284.299805,6234.799805,6273.000000,6273.000000,0
2018-08-07,6273.000000,6273.000000,6244.399902,6253.899902,6253.899902,0
2018-08-08,6253.899902,6279.000000,6253.899902,6268.500000,6268.500000,0
2018-08-09,6268.500000,6313.600098,6258.399902,6297.700195,6297.700195,0
2018-08-10,6297.700195,6307.200195,6277.399902,6278.399902,6278.399902,0
2018-08-13,6278.100098,6279.700195,6239.600098,6252.200195,6252.200195,0
2018-08-14,6252.200195,6307.799805,6252.200195,6299.600098,6299.600098,0
2018-08-15,6299.600098,6329.000000,6274.700195,6329.000000,6329.000000,0
2018-08-16,6329.000000,6331.000000,6282.399902,6328.299805,6328.299805,0
2018-08-17,6328.299805,6348.100098,6316.600098,6339.200195,6339.200195,0
2018-08-20,6338.399902,6358.000000,6338.399902,6345.000000,6345.000000,0
2018-08-21,6345.000000,6345.399902,6275.899902,6284.399902,6284.399902,0
2018-08-22,6284.399902,6284.399902,6248.799805,6266.000000,6266.000000,0
2018-08-23,6266.000000,6275.700195,6242.500000,6244.399902,6244.399902,0
2018-08-24,6244.399902,6273.700195,6238.000000,6247.299805,6247.299805,0
2018-08-27,6247.500000,6269.600098,6230.899902,6268.899902,6268.899902,0
2018-08-28,6268.899902,6318.899902,6268.899902,6304.700195,6304.700195,0
2018-08-29,6304.700195,6352.200195,6303.000000,6352.200195,6352.200195,0
2018-08-30,6352.200195,6373.500000,6348.200195,6351.799805,6351.799805,0
2018-08-31,6351.799805,6355.200195,6319.500000,6319.500000,6319.500000,0
2018-09-03,6319.500000,6333.700195,6310.899902,6310.899902,6310.899902,0
2018-09-04,6310.899902,6314.899902,6276.299805,6293.100098,6293.100098,0
2018-09-05,6293.100098,6293.100098,6230.399902,6230.399902,6230.399902,0
2018-09-06,6230.399902,6230.399902,6150.700195,6160.399902,6160.399902,0
2018-09-07,6160.399902,6160.399902,6102.000000,6143.799805,6143.799805,0
2018-09-10,6143.799805,6152.700195,6123.799805,6141.700195,6141.700195,0
2018-09-11,6141.700195,6181.500000,6139.299805,6179.700195,6179.700195,0
2018-09-12,6179.700195,6181.100098,6152.399902,6175.899902,6175.899902,0
2018-09-13,6175.899902,6175.899902,6126.700195,6128.700195,6128.700195,0
2018-09-14,6128.700195,6173.299805,6128.700195,6165.299805,6165.299805,0
2018-09-17,6165.299805,6192.600098,6142.299805,6185.000000,6185.000000,0
2018-09-18,6185.000000,6185.000000,6149.100098,6161.500000,6161.500000,0
2018-09-19,6161.500000,6197.500000,6161.500000,6190.000000,6190.000000,0
2018-09-20,6190.000000,6196.700195,6163.700195,6169.500000,6169.500000,0
2018-09-21,6169.500000,6209.600098,6169.500000,6194.600098,6194.600098,0
2018-09-24,6194.600098,6195.200195,6167.700195,6186.899902,6186.899902,0
2018-09-25,6186.899902,6192.200195,6166.799805,6185.899902,6185.899902,0
2018-09-26,6185.899902,6210.500000,6182.500000,6192.299805,6192.299805,0
2018-09-27,6192.299805,6197.100098,6179.799805,6181.200195,6181.200195,0
2018-09-28,6181.200195,6234.399902,6181.200195,6207.600098,6207.600098,0
2018-10-01,6207.600098,6207.600098,6154.299805,6172.299805,6172.299805,0
2018-10-02,6172.299805,6180.299805,6118.399902,6126.200195,6126.200195,0
2018-10-03,6126.200195,6151.399902,6126.200195,6146.100098,6146.100098,0
2018-10-04,6146.100098,6195.200195,6146.100098,6176.299805,6176.299805,0
2018-10-05,6176.299805,6199.200195,6160.600098,6185.500000,6185.500000,0
2018-10-07,6177.399902,6177.399902,6100.299805,6100.299805,6100.299805,0
2018-10-08,6100.299805,6101.799805,6033.600098,6041.100098,6041.100098,0
2018-10-09,6041.100098,6057.799805,6022.700195,6049.799805,6049.799805,0
2018-10-10,6049.799805,6049.799805,5883.799805,5883.799805,5883.799805,0
2018-10-11,5883.799805,5904.000000,5846.700195,5895.700195,5895.700195,0
2018-10-14,5895.700195,5895.700195,5796.000000,5837.100098,5837.100098,0
2018-10-15,5869.899902,5884.700195,5837.100098,5869.899902,5869.899902,0
2018-10-16,5869.899902,5940.200195,5869.899902,5939.100098,5939.100098,0
2018-10-17,5939.100098,5942.799805,5914.899902,5942.399902,5942.399902,0
2018-10-18,5942.399902,5942.399902,5883.299805,5939.500000,5939.500000,0
2018-10-21,5939.500000,5939.500000,5887.700195,5904.899902,5904.899902,0
2018-10-22,5904.899902,5905.399902,5843.100098,5843.100098,5843.100098,0
2018-10-23,5843.100098,5857.100098,5819.399902,5829.000000,5829.000000,0
2018-10-24,5829.000000,5829.000000,5664.100098,5664.100098,5664.100098,0
2018-10-25,5664.100098,5700.200195,5624.600098,5665.200195,5665.200195,0
2018-10-28,5665.200195,5737.600098,5665.200195,5728.200195,5728.200195,0
2018-10-29,5728.200195,5805.100098,5691.700195,5805.100098,5805.100098,0
2018-10-30,5805.100098,5830.299805,5789.500000,5830.299805,5830.299805,0
2018-10-31,5830.299805,5877.200195,5820.700195,5840.799805,5840.799805,0
2018-11-01,5840.799805,5849.200195,5809.200195,5849.200195,5849.200195,0
2018-11-04,5849.200195,5857.399902,5817.700195,5818.100098,5818.100098,0
2018-11-05,5818.100098,5877.200195,5818.100098,5875.200195,5875.200195,0
2018-11-06,5875.200195,5896.899902,5844.600098,5896.899902,5896.899902,0
2018-11-07,5896.899902,5935.500000,5896.899902,5928.200195,5928.200195,0
2018-11-08,5928.200195,5933.500000,5896.399902,5921.799805,5921.799805,0
2018-11-11,5921.799805,5941.299805,5884.600098,5941.299805,5941.299805,0
2018-11-12,5941.299805,5941.299805,5824.399902,5834.200195,5834.200195,0
2018-11-13,5834.200195,5837.299805,5728.600098,5732.799805,5732.799805,0
2018-11-14,5732.799805,5753.500000,5686.799805,5736.000000,5736.000000,0
2018-11-15,5736.000000,5757.899902,5726.500000,5730.600098,5730.600098,0
2018-11-18,5730.600098,5731.299805,5682.399902,5693.700195,5693.700195,0
2018-11-19,5693.700195,5693.700195,5635.500000,5671.799805,5671.799805,0
2018-11-20,5671.799805,5671.799805,5594.000000,5642.799805,5642.799805,0
2018-11-21,5642.799805,5695.399902,5642.799805,5691.299805,5691.299805,0
2018-11-22,5691.299805,5724.299805,5678.299805,5716.200195,5716.200195,0
2018-11-25,5716.200195,5716.200195,5655.600098,5671.600098,5671.600098,0
2018-11-26,5671.600098,5728.299805,5670.700195,5728.299805,5728.299805,0
2018-11-27,5728.299805,5737.600098,5706.700195,5725.100098,5725.100098,0
